fichier,date,description,montant,categorie
facture1.jpg,,Invoice no: 12847181 Date of i...,6,
facture10.jpg,"Oct. 10, 2023",IIVV UIUE Les Produits Diamanc...,43,
facture18.jpg,,Invoice no: 19471831 Date of i...,40,
facture19.jpg,"Oct. 19, 2023",Invoice acct 1N8CpQGmFzQxIIDx ...,7139,
facture2.jpg,"Nov. 1, 2023","649097 $2624 USD due Nov. 1, 2...",2624,
facture20.jpg,,Invoice no: 51109338 Date of i...,5,
facture21.jpg,,Invoice no: 16273983 Date of i...,"744,60",
facture22.jpg,,Invoice no: 89969473 Date of i...,"725,37",
facture23.jpg,,Invoice no: 72128555 Date of i...,"665,76",
facture24.jpg,,Invoice no: 11580833 Date of i...,4,
facture25.jpg,,Invoice no: 74589240 Date of i...,11,
facture26.jpg,,Invoice no: 81978187 Date of i...,"113,45",
facture27.jpg,,Invoice no: 99314100 Date of i...,5,
facture28.jpg,,Invoice no: 68688408 Date of i...,"82,97",
facture29.jpg,,Invoice no: 13407985 Date of i...,4,
facture3.jpg,"Oct. 3, 2023",Invoice acct 1N8CpQGmFzQxIIDx ...,84382,
facture4.jpg,"Oct. 14, 2023",IIVV UIUE DYNAPLAS LTD. 380 PA...,1355,
facture5.jpg,"Nov. 29, 2023",IIVV UIUE Bombardier Aerospace...,6,
facture6.jpg,"Oct. 24, 2023",IIVV UIUE NSE-Automatech Inc. ...,78,
facture7.jpg,"Oct. 20, 2023",IIVV UIUE AIAP 7321 Commercial...,9,
facture8.jpg,"Oct. 23, 2023",IIVV UIUE Alsco Canada Corpora...,6,
facture9.jpg,"Oct. 23, 2023",IIVV UIUE COLPITTS DESIGN 4190...,55,
